sha1,file_name,company_name
stock_10002,【上海证券】中芯国际深度研究报告：晶圆制造龙头，领航国产芯片新征程.pdf,中芯国际
stock_10003,【华泰证券】中芯国际（688981）：上调港股目标价到63港币，看好DeepSeek推动代工需求强劲增长.pdf,中芯国际
stock_10004,【光大证券】中芯国际2025年一季度业绩点评：1Q突发生产问题，2Q业绩有望筑底，自主可控趋势不改.pdf,中芯国际
stock_10005,【国信证券】工业与汽车触底反弹，良率影响短期营收.pdf,中芯国际
stock_10006,【中原证券】产能利用率显著提升，持续推进工艺迭代升级——中芯国际(688981)季报点评.pdf,中芯国际
stock_10007,【东方证券】产能利用率提升，持续推进工艺迭代和产品性能升级.pdf,中芯国际
stock_10008,【兴证国际】季度盈利低于预期，看好国产芯片长期空间.pdf,中芯国际
stock_10009,中芯国际机构调研纪要.pdf,中芯国际
stock_10018,tmpnuqx9uuz.pdf,操作系统课程设计
stock_10019,tmpy9e7wdvc.pdf,程允锋简历
